"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-11","8.95","0.00","0.0","0.0",,"56","38","  270","  300","18.1","25.9",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-12","5.82","0.00","0.0","0.0",,"63","44","  150","  150","16.1","25.1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-13","7.83","1.92","0.0","0.0",,"67","53","  160","  200","18.1","38.0","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-14","6.26","0.00","0.0","0.0",,"60","47","  300","  280","15.0","23.9",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-15","6.26","0.00","0.0","0.0",,"54","42","  270","  270","14.1","25.1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-16","9.17","0.00","0.0","0.0",,"50","38","  270","  280","17.0","30.0",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-17","5.37","0.07","0.0","0.0",,"51","36","  220","  220","14.1","21.9","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-18","5.82","0.22","0.0","0.0",,"46","41","  360","   10","14.1","19.9","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-19","7.38","0.00","0.0","0.0",,"63","40","  230","  200","15.0","25.9",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-20","4.70","0.00","0.0","0.0",,"57","48","   40","   50","13.0","21.0",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-21","7.16","0.18","0.0","0.0",,"61","39","  280","  280","23.0","36.0","    1",,"    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-22","8.05","0.00","0.0","0.0",,"51","36","  280","  260","19.9","31.1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-23","3.80","0.13","0.0","0.0",,"52","40","   50","  110","8.9","15.0","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-24","7.16","0.48","0.0","0.0",,"49","42","   50","   70","17.0","28.0","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-25","3.36","0.00","0.0","0.0",,"65","44","  140","  160","14.1","19.9",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-26","10.51","0.22","0.0","0.0",,"51","42","   50","   50","25.9","40.0","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-27","7.38","0.00","0.0","0.0",,"50","39","  360","  360","16.1","23.9","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-28","3.80","0.00","0.0","0.0",,"67","41","  280","  270","12.1","19.9",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-29","6.71","0.01","0.0","0.0",,"59","47","   60","   80","16.1","23.0",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-30","9.17","0.71","0.0","0.0",,"60","49","  130","  160","18.1","36.0","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-01","3.80","0.21","0.0","0.0",,"66","53","  300","  300","14.1","23.0","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-02","6.04","0.00","0.0","0.0",,"73","51","  250","  280","15.0","23.0",,,,
