boro,month,awnd,prcp,snow,tmax,tmin,wsf2,wt01,wt02,wt03,wt04,wt06,wt08,holiday,crime_type,weekday,value
MANHATTAN,7,0,1,0,82,73,8.1,1,0,0,0,0,1,0,theft_property,3,102
BRONX,6,0,0,0,83,65,13,0,0,0,0,0,0,0,other,5,57
BROOKLYN,7,0,0,0,88,69,10.1,0,0,0,0,0,0,0,other,7,105
BROOKLYN,7,0,0,0,81,72,13,1,0,0,0,0,1,0,theft_property,4,81
BRONX,7,0,0,0,82,66,8.9,0,0,0,0,0,0,1,other,6,63
QUEENS,8,0,0,0,90,75,12.1,0,0,0,0,0,0,0,other,2,42
BROOKLYN,7,0,0,0,88,69,10.1,0,0,0,0,0,0,0,other,7,82
BROOKLYN,7,0,0,0,95,75,8.9,0,0,0,0,0,1,0,theft_property,3,101
BRONX,6,0,0,0,82,68,14.1,1,0,0,0,0,0,0,other,3,45
STATEN ISLAND,7,0,0,0,96,78,10.1,0,0,0,0,0,0,0,violent,4,22
MANHATTAN,7,0,0,0,88,69,10.1,0,0,0,0,0,0,0,violent,7,99
BRONX,7,0,0,0,95,75,8.9,0,0,0,0,0,1,0,violent,3,75
MANHATTAN,6,1,1,0,71,58,16.1,1,0,0,0,0,0,0,violent,7,91
QUEENS,6,1,0,0,90,75,16.1,0,0,0,0,0,0,0,other,3,53
MANHATTAN,7,0,0,0,89,72,6.9,0,0,0,0,0,0,0,other,1,59
MANHATTAN,6,0,0,0,83,65,13,0,0,0,0,0,0,0,violent,5,78
QUEENS,7,0,1,0,85,71,10.1,1,0,0,0,0,1,0,violent,7,65
BRONX,8,0,0,0,90,75,12.1,0,0,0,0,0,0,0,other,2,50
BRONX,8,0,0,0,89,75,14.1,0,0,0,0,0,0,0,theft_property,7,46
BROOKLYN,7,0,0,0,88,75,13,1,0,0,0,0,1,0,theft_property,3,84
STATEN ISLAND,7,0,1,0,85,71,10.1,1,0,0,0,0,1,0,other,7,7
BRONX,6,0,0,0,84,68,13,0,0,0,0,0,0,0,violent,4,95
MANHATTAN,7,0,0,0,86,68,13,0,0,0,0,0,0,0,violent,5,87
MANHATTAN,7,0,0,0,80,69,8.1,0,0,0,0,0,0,0,violent,5,105
BRONX,7,0,1,0,79,68,12.1,1,0,0,0,0,1,0,theft_property,5,74
QUEENS,6,0,0,0,84,68,13,0,0,0,0,0,0,0,other,4,59
MANHATTAN,7,0,0,0,81,72,13,1,0,0,0,0,1,0,theft_property,4,111
BROOKLYN,7,0,1,0,82,69,14.1,1,0,0,0,0,1,0,theft_property,4,100
MANHATTAN,7,0,0,0,96,78,10.1,0,0,0,0,0,0,0,other,4,84
QUEENS,8,0,0,0,90,75,12.1,0,0,0,0,0,0,0,theft_property,2,54
MANHATTAN,7,0,1,0,85,71,10.1,1,0,0,0,0,1,0,other,7,71
MANHATTAN,7,0,0,0,88,77,13,0,0,0,0,0,1,0,theft_property,4,123
BROOKLYN,8,0,0,0,89,71,12.1,0,0,0,0,0,0,0,violent,1,92
QUEENS,6,0,0,0,82,68,14.1,1,0,0,0,0,0,0,violent,3,62
BROOKLYN,7,1,0,0,85,69,14.1,0,0,0,0,0,0,0,violent,4,136
BRONX,7,0,0,0,83,72,12.1,0,0,0,0,0,1,0,theft_property,2,54
BROOKLYN,7,0,1,0,79,68,12.1,1,0,0,0,0,1,0,violent,5,110
BRONX,7,0,0,0,89,72,6.9,0,0,0,0,0,0,0,violent,1,87
MANHATTAN,7,0,0,0,83,72,12.1,0,0,0,0,0,1,0,theft_property,2,85
MANHATTAN,8,0,0,0,90,75,12.1,0,0,0,0,0,0,0,theft_property,2,85
BROOKLYN,7,0,1,0,87,76,12.1,1,0,0,0,0,1,0,other,5,82
BROOKLYN,7,0,0,0,89,72,6.9,0,0,0,0,0,0,0,other,1,75
BRONX,7,0,0,0,84,72,12.1,1,0,0,0,0,0,0,theft_property,6,45
QUEENS,7,0,0,0,88,69,10.1,0,0,0,0,0,0,0,theft_property,7,41
QUEENS,7,0,0,0,89,72,6.9,0,0,0,0,0,0,0,violent,1,60
QUEENS,6,0,0,0,76,63,12.1,0,0,0,0,0,0,0,violent,2,44
BROOKLYN,7,0,0,0,83,68,6.9,0,0,0,0,0,0,0,other,1,98
QUEENS,7,0,1,0,79,68,12.1,1,0,0,0,0,1,0,other,5,46
STATEN ISLAND,7,0,1,0,82,73,8.1,1,0,0,0,0,1,0,violent,3,18
STATEN ISLAND,7,0,0,0,82,66,8.9,0,0,0,0,0,0,1,other,6,13
QUEENS,7,0,0,0,88,69,10.1,0,0,0,0,0,0,0,theft_property,7,38
BRONX,6,0,0,0,76,63,12.1,0,0,0,0,0,0,0,other,2,35
MANHATTAN,7,0,0,0,96,78,10.1,0,0,0,0,0,0,0,theft_property,4,124
MANHATTAN,6,1,1,0,71,58,16.1,1,0,0,0,0,0,0,other,7,57
QUEENS,7,0,0,0,88,75,13,1,0,0,0,0,1,0,violent,3,74
